index,name,isin,url,keyword,sheet
2,1OAK Multi Asset 80 UCITS A GBP Acc,IE00BMW4T172,https://www.ajbell.co.uk/market-research/FUND:BMW4T17,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",MF
7,7IM AAP Balanced C Inc,GB00B2PB2V64,https://www.ajbell.co.uk/market-research/FUND:B2PB2V6,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
12,7IM Adventurous C Acc,GB0033958009,https://www.ajbell.co.uk/market-research/FUND:3395800,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
17,7IM Moderately Adventurous C Inc,GB0033956391,https://www.ajbell.co.uk/market-research/FUND:3395639,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
22,7IM Pathbuilder 3 C GBP Acc,GB00BMDPC769,https://www.ajbell.co.uk/market-research/FUND:BMDPC76,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
27,AB American Growth I GBP,LU1877329133,https://www.ajbell.co.uk/market-research/FUND:BNM5Q72,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
32,abrdn American Equity I Acc,GB00B0XWN259,https://www.ajbell.co.uk/market-research/FUND:B0XWN25,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
37,abrdn Diversified Growth and Inc I Acc,GB00B1C42779,https://www.ajbell.co.uk/market-research/FUND:B1C4277,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
42,abrdn Emerging Markets Income Eq I Acc,GB00B82VD295,https://www.ajbell.co.uk/market-research/FUND:B82VD29,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
47,abrdn Europe ex UK Equity I Acc,GB00B0LG6P37,https://www.ajbell.co.uk/market-research/FUND:B0LG6P3,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
