index,name,isin,url,keyword,sheet
11,21Shares Ethereum Core Staking ETP Acc GBP,CH1209763130,https://www.ajbell.co.uk/market-research/LSE:ETHC,"This share can be held in a Dealing account, SIPP and Dividend reinvestment",ETF
31,Alpha SICAV Fair Oaks AAA CLO ETF EURInc GBP,LU2785470191,https://www.ajbell.co.uk/market-research/LSE:AAAG,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",ETF
51,Amundi Core MSCI EMU ETF Dis GBP,LU1646360971,https://www.ajbell.co.uk/market-research/LSE:MFEX,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",ETF
71,Amundi Core Stoxx Eurp 600 ETF USD H Acc,LU2873560564,https://www.ajbell.co.uk/market-research/LSE:MEUH,This share can be held in a Dealing account,ETF
91,Amundi EUR Corp Bd Clmt PrsAlgdETFAcc GBP,LU1829219127,https://www.ajbell.co.uk/market-research/LSE:CRPX,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",ETF
111,Amundi Glb AggtPrcdsBd 1-10YETFGBPHdgDis,LU1981860585,https://www.ajbell.co.uk/market-research/LSE:XCOG,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",ETF
131,Amundi Ibex 35 ETF Acc EUR,FR0010655746,https://www.ajbell.co.uk/market-research/XMAD:AMIBX,,ETF
151,Amundi EUR Corporate Bond ESG ETF 2 DR€C EUR,LU1681039647,https://www.ajbell.co.uk/market-research/LSE:0A0N,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",ETF
171,Amundi IS MSCI Europe Min Vol Fctr ETF-C GBP,LU1681041627,https://www.ajbell.co.uk/market-research/LSE:MIVO,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",ETF
191,Amundi IS Prime Europe ETF DR GBP,LU1931974262,https://www.ajbell.co.uk/market-research/LSE:PRIE,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",ETF
211,Amundi Japan Topix II ETF Dist EUR USD,FR0010245514,https://www.ajbell.co.uk/market-research/LSE:JPNU,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",ETF
231,Amundi MSCI Digital Economy ETF Acc EUR,LU2023678878,https://www.ajbell.co.uk/market-research/XETR:EBUY,,ETF
251,Amundi MSCI Em Ex China ESG Sel ETF DR C GBP,LU2345046655,https://www.ajbell.co.uk/market-research/LSE:EMXG,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",ETF
271,Amundi MSCI EurSRIClmtPrsAlgdETF DRD GBP,LU2059756598,https://www.ajbell.co.uk/market-research/LSE:ESDG,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",ETF
291,Amundi MSCI New Energy ETF Acc USD,FR0014002CG3,https://www.ajbell.co.uk/market-research/LSE:NRJU LN,,ETF
311,Amundi MSCI Semiconductors ETF Acc EUR,LU1900066033,https://www.ajbell.co.uk/market-research/MIL:CHIP,,ETF
331,Amundi MSCI USA SRIClmtPrsAlgdETFAcc,IE000R85HL30,https://www.ajbell.co.uk/market-research/XETR:WEBD,,ETF
351,Amundi MSCI Wld SRIClmtNtZrAmbtPABETF€A GBP,IE000Y77LGG9,https://www.ajbell.co.uk/market-research/XETR:XAM0,,ETF
371,Amundi Prime Global ETF Dist EUR,IE000QIF5N15,https://www.ajbell.co.uk/market-research/FRA:MWOL,,ETF
391,Amundi UK Govt Infl Lnkd Bd ETF Dist,LU1407893301,https://www.ajbell.co.uk/market-research/LSE:GILI,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",ETF
411,Amundi US Treasury 7-10Y ETF Dist GBP,LU1407888053,https://www.ajbell.co.uk/market-research/LSE:U71G,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",ETF
431,Avantis America Equity ETF USD Acc GBP,IE000OW54ZX1,https://www.ajbell.co.uk/market-research/LSE:AVAE,This share can be held in a Dealing account,ETF
451,Bitwise Ethereum Staking ETC USD,DE000A3G90G9,https://www.ajbell.co.uk/market-research/LSE:ET32,,ETF
471,BNP Paribas Easy € Corp Bd SRI PAB 7-10Y GBP,LU2742532828,https://www.ajbell.co.uk/market-research/LSE:C7GB,This share can be held in a Dealing account,ETF
491,BNPP E MSCI China Min TE ETF C GBP,LU2314312922,https://www.ajbell.co.uk/market-research/LSE:CNGB,This share can be held in a Dealing account,ETF
511,Calamos Autocallable Income ETF USD Acc,IE000DHZXD61,https://www.ajbell.co.uk/market-research/LSE:CAKE,This share can be held in a Dealing account,ETF
531,Cordillera Core Balanced Strategy ETP,XS2665005059,https://www.ajbell.co.uk/market-research/LSE:CODL,This share can be held in a Dealing account and SIPP,ETF
551,Dimensional Glbl ex US CorEqMktETFUSDAcc,IE0002YHUWS3,https://www.ajbell.co.uk/market-research/LSE:DDXM,This share can be held in a Dealing account,ETF
571,Fidelity EUR Corp Bd Rsh Enh PABETF£HAcc,IE00048UULY2,https://www.ajbell.co.uk/market-research/LSE:FEIP,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",ETF
591,Fidelity Glb Govt Bd Clmt Awr ETF Inc,IE000IF0HTJ9,https://www.ajbell.co.uk/market-research/LSE:FGGB,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",ETF
611,Fidelity US Fundamental Lrg Cp Cr ETFAcc,IE000IY9QFN9,https://www.ajbell.co.uk/market-research/LSE:FFLC,This share can be held in a Dealing account,ETF
631,FinamxMexS&P/BMVIntlUMSSovBd5-10yrETFAcc GBP,IE000RI14ZD9,https://www.ajbell.co.uk/market-research/LSE:MEXP,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",ETF
651,First Trust Em Mkts AlphaDEX® ETF A Acc,IE00B8X9NX34,https://www.ajbell.co.uk/market-research/LSE:FEMU,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",ETF
671,First Trust Indxx Eurp Infras ETF A Acc USD,IE000TIZ5AP4,https://www.ajbell.co.uk/market-research/LSE:FTEI,This share can be held in a Dealing account,ETF
691,Fst Tr Nasdaq®ClnEg®GrnEyUCITS ETF A Acc GBP,IE00BDBRT036,https://www.ajbell.co.uk/market-research/LSE:QCLN,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",ETF
711,First Trust Value Line® Div ETF A USDAcc,IE00BKVKW020,https://www.ajbell.co.uk/market-research/LSE:FVD,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",ETF
731,First Trst VstUSEqModBffrETFAugA$Acc GBP,IE000TGSG3Y5,https://www.ajbell.co.uk/market-research/LSE:AUGB,This share can be held in a Dealing account and SIPP,ETF
751,Franklin Core US Enhanced Eq ETF USD Acc GBP,IE000CZU3JH0,https://www.ajbell.co.uk/market-research/LSE:USEN,This share can be held in a Dealing account,ETF
771,Franklin FTSE Emerging ex China ETF Acc GBP,IE0006D3PGW3,https://www.ajbell.co.uk/market-research/LSE:EEXC,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",ETF
791,Franklin Global Qual Div UCITS ETF $ Acc USD,IE000ZZJ48Q0,https://www.ajbell.co.uk/market-research/LSE:DVDG,This share can be held in a Dealing account,ETF
